nodeIdx,nodeId,topic,target,found,foundRegistrant,foundExtra,timeToFirstMs,timeToCompletionMs,hitTimeout,recall
263,732d403abe817c9d9e6d566aa4e5115256c768f0b6101ca0c6049aca4b554552,3,67,67,67,0,71.095791,1784.183083,0,1.0
264,003cfca49be0e16378a8247073f0b8d314416d9cbb7612971f0e74ec05879faf,1,105,105,105,0,62.35875,2335.209791,0,1.0
265,262d9f7b3ecd9d1c84126738e0fb707fb081fe71a6b4e4a68a6cfba79f969310,3,67,67,67,0,66.201375,2858.901,0,1.0
266,6cfdabdf46f1e6e70e370377c79454cff29a48c4edd421861e884507926c25b5,4,39,39,39,0,66.259167,1204.104875,0,1.0
267,d0ce67dd23a6d65030004324dd579e386c771ed7780de50b430733c5aa80e0f0,2,73,73,73,0,67.943708,1667.475458,0,1.0
268,b4f7fb406b62e3669cc465e2c7c36b75dbadea471efda2666bfded286a20c977,1,105,105,105,0,74.689458,2532.168833,0,1.0
269,6edffab9b53020c00a2288c05d575f34299a8733f0f9f1073c0c419af2518080,3,67,67,67,0,64.218958,1804.707333,0,1.0
270,dad84de8169c9fccaaff1748eb838e2124eb0b5d8a725b484c469542f65d0921,2,73,73,73,0,68.42125,2096.624666,0,1.0
271,9b0648bfb4ede99cf22395f2fe5df32444b334e72c48a3f0f66f4a42c0f158fb,3,67,67,67,0,67.461625,2513.600458,0,1.0
272,25d068aa0bcea328cca78cf720797cd920132ce73280aa92ae9ea18975f6bc14,0,211,204,204,0,69.366833,180000.086833,1,0.966824644549763
273,c35f9d7e946d840696cddf382889e08a8bb6d87516314e8e1a9e00f82cbbc929,0,211,210,210,0,74.842959,180000.057875,1,0.995260663507109
274,063577f379ec44c2410af5ab8bcdd489d9c1eb087ea4b3c0b9a67b28631a9d28,0,211,204,204,0,70.164666,180000.134416,1,0.966824644549763
275,2c283b3c08c2147955ba2b092c171b8b5428a690a792c345e6e0969def3bc898,3,67,67,67,0,68.650958,1833.483417,0,1.0
276,f2a28b08021a8e6c4f6b8ab71c1b3a1113721298e2b51e8c4de05cc412d98e6d,4,39,39,39,0,69.761,1285.460042,0,1.0
277,c9072c076eee8453d820faecae2ced42e298ab1b4ccf9f922c9a64a6ff3fcc1e,0,211,203,203,0,71.866542,180000.0635,1,0.9620853080568721
278,1be27e8d0251aa6b661e9f3b3995d9a8b41553b5107fbe6b2ba31908ee378fdb,4,39,39,39,0,140.533292,1053.067125,0,1.0
279,1e7ac394d8383f01a7fcbf2117a5856adf8aeeda27e170af84006261b1bc2633,0,211,191,191,0,72.180792,180000.092042,1,0.9052132701421801
280,07b1918dc16464c20ca09918873bccbcd492b852aa35ce10c2f256ba1e698d0e,1,105,105,105,0,90.323792,2017.210042,0,1.0
281,d37f34dd2ae53f93f597d354ac449996294f5f11a08d9b949d019d58d7e9f216,0,211,184,184,0,67.946292,180000.103084,1,0.8720379146919431
282,f594922cde1ef862bf402d11b79bbe48d23aa23dda8d01ba6c1976999256d7e4,0,211,206,206,0,97.863917,180000.058334,1,0.976303317535545
283,733f4ca69736bb9bfbf4ac54e1ebb3591b160beb6115e434aac2210e18439562,2,73,73,73,0,66.910917,1712.182459,0,1.0
284,d3f4a972c9421b33930ba9866d267af5fc5b343f4ddfa71ac6914899f9a9f269,1,105,105,105,0,70.675958,2790.694125,0,1.0
285,c8d9e92e9bd1bff699c4e4b510232158e935a475ca660e0f6ff06e2c3be05788,0,211,194,194,0,67.427292,180000.054625,1,0.919431279620853
286,85ccad3c3bb8f065e73e433e7c14349441456c876b5e8418627c37557b9dfc11,0,211,208,208,0,88.409292,180000.084417,1,0.985781990521327
287,9bc5cda28a650c7c4cf0c75b35e53f12197d3754e5aa10f282b752f8664016d5,2,73,73,73,0,77.545959,3401.772042,0,1.0
288,16a9b6f59db06dedb029196336e2da967d3f5374bd666d1fe124932a441ed95e,1,105,105,105,0,82.883708,2993.959333,0,1.0
289,1fc99a7fe9a81a6e898119001f07d5dd66ba2ebf28003170c48ec52a493bc642,3,67,67,67,0,66.51575,2065.201667,0,1.0
290,8bb700a72e219f6e911355a0b4d286ed41f904bee7c12de32b3c7189bbabcc51,0,211,198,198,0,70.041375,180000.030167,1,0.9383886255924171
291,08807437f7865552acfd9ab8526de6c2cb48f3aac2fac1520262b4dde82bda4f,2,73,73,73,0,88.697875,3002.232375,0,1.0
292,a0f54ff0ec5abf16b6ff940a04d65fccb616ac937fdb5690b35310559491cadd,1,105,104,104,0,66.647708,180000.025625,1,0.9904761904761905
293,b70d8e82b720109dc44f05cce1ca0d6530530ef806f0c0760ce33f038c649b52,0,211,196,196,0,89.91925,180000.056292,1,0.9289099526066351
294,a4d28bc3fb367a1243387ad746c8c900ec029a901aefa1f25cde398c3eb832c8,4,39,39,39,0,76.147917,1610.177334,0,1.0
295,9166ba517af3c812c22b8e2c42e40e87314b0a7b73fc8f3bc0c0bf96764a5c01,2,73,73,73,0,85.531042,1579.684042,0,1.0
296,56336b1abc055dbb3ee61f53a1ed2c1a6d45e76db848de9c275ac163c3adcc72,0,211,186,186,0,95.707083,180000.046458,1,0.8815165876777251
297,b5cc2f63a863ca4f2bd91031fe559b5e3230fd50ce70b39757c9bcb55bbe043a,0,211,124,124,0,79.234875,180000.057541,1,0.5876777251184834
298,3359ac1e3f891cec0dddc76671caa64ef5429dff8cd499691621373ed5d65695,0,211,206,206,0,79.223917,180000.05025,1,0.976303317535545
299,e43e5c56e85f69dd02cef9129d0d64ae23b795dd9ab6a77fcf636cf49ac677ab,3,67,67,67,0,84.119,1202.451166,0,1.0
300,07b62ee93fa72bd08fc1a4f45855b13f4a0f84135f817fa7215de465a48b17c8,2,73,73,73,0,78.021,2381.483166,0,1.0
301,a27ebc63e0e3e6f3ebdb35d3e427547d592411e16ce8d4ce6f13ebb0154afa97,0,211,204,204,0,82.547625,180000.053833,1,0.966824644549763
302,5fa0b31bdba6a4e218b5baedfa674b9aad02a755a315852cba7f75f8f85dd41c,0,211,207,207,0,66.6105,180000.067584,1,0.981042654028436
303,3d3f3378f280ae0a4a82f68e1a905eab9d0d81d43f5b4560fd42caeb834913c6,0,211,198,198,0,89.410375,180000.079584,1,0.9383886255924171
304,2cd927600dbb3acb99a1aa77bb36f678e6598a9432ad101aa456759feba36bdd,1,105,105,105,0,81.380875,2529.233542,0,1.0
305,83a5d1fb6378fdf2965e5811888dec7aaf0fe9a8c450323bad6e8bd4be2de891,0,211,199,199,0,84.021792,180000.048459,1,0.943127962085308
306,e7d5d5e0c10e4222e217740a0d64586f027d44874a485ee9ca8628920a27751e,1,105,105,105,0,95.75875,2571.119084,0,1.0
307,29d3c698ef5b353b3aaa4938ec0d4161811c7de43197361bbda2110d7be9bdb9,2,73,73,73,0,88.616542,1722.50675,0,1.0
308,f4e099f68be8f5f073f69818dd733b22d0880b07f07b55ce171912d076986c60,0,211,199,199,0,81.290125,180000.06475,1,0.943127962085308
309,e4d2d77d0bb4a38bc98ead5afc9c24a621c12bc00a39437e33b4234d9d7fefd2,2,73,73,73,0,64.502917,2125.636334,0,1.0
310,eb19a844aa2719e0f9639094361f63bc20247b32c64ab768abd2b3b5e6eab75d,0,211,181,181,0,89.425041,180000.040458,1,0.8578199052132701
311,7f1f3e19d40381d9dd6c6b15950274bd270ff6262a23f81eda064191ea224eb6,1,105,105,105,0,68.551583,2032.16775,0,1.0
312,aea49b798f6e82d55258e456d180d0408f5a2f52954c91f0dff3935b354f9be2,3,67,67,67,0,89.053583,1958.921583,0,1.0
313,8b1549b02daace66bfa59072905bdfb2ed6382b478fb3353d0636df4f9314490,4,39,36,36,0,148.8535,180000.087166,1,0.9230769230769231
314,3deb8b7eb5aa8b836f79dc7c3190f124851895f0e9222574b8a15bbdccf2acc2,4,39,39,39,0,73.126834,1302.307,0,1.0
315,c37a5352503ba3fe25888cfaac6e0bb0af7a1d22556498d3175ef00b3a9023e6,1,105,105,105,0,100.913209,2839.444334,0,1.0
316,da6b4130f7b8925de38a66fa09fc57f9933eedfe213e74ea869f90776dad067e,1,105,105,105,0,77.747875,2456.093,0,1.0
317,ff47cc5a3f1c70c143fd358e7ef36e6ce3ff4f7934b53d348d46f319478ccd6e,0,211,204,204,0,72.946333,180000.159416,1,0.966824644549763
318,8b6ef64bb2d88855dd1e72771fc69df0cd77aef04187203294bc7849a6dcfdff,1,105,85,85,0,75.999334,180000.13025,1,0.8095238095238095
319,11013cf1f1e910bffdab169c177982cb88dc000327936cc003dc38677175a76f,0,211,207,207,0,77.098167,180000.109292,1,0.981042654028436
320,fecc1a61764072204e262b6726cc04adef0e3d4c30e570b8cc74960681130b8c,3,67,67,67,0,95.751833,1990.169292,0,1.0
321,99e96a32958abf398bf742b5ee58e63d0f69656da187ff214ed5e1d362c1baa6,1,105,103,103,0,88.685625,180000.122084,1,0.9809523809523809
