nodeIdx,nodeId,topic,target,found,foundRegistrant,foundExtra,timeToFirstMs,timeToCompletionMs,hitTimeout,recall
247,4f17662947d522908e0ab8e734912e71e450acb2369c52a8ee727fce7a6c51ec,0,211,208,208,0,81.940542,90000.024917,1,0.985781990521327
248,39c7bc6b0fff1ac2a4cfc6f367a8ae7c4b1de30bb0ed79092844e16dccd18ebc,0,211,207,207,0,84.090541,90000.004291,1,0.981042654028436
249,02a9c21f35a0d5b515197f63af14a5ed1cdeabe419e47e543d41c09420265b13,4,39,39,39,0,78.351166,1421.780458,0,1.0
250,c1748b2ee4587fa943c16440003438ae25d461e8ae7f153e1433f74cf86ea142,0,211,205,205,0,85.183542,90000.020458,1,0.9715639810426541
251,a60e6e0b0908510dc5fbcee87ee30894f1c4c38348790c4add484bb86522a5c9,0,211,207,207,0,78.565,90000.032417,1,0.981042654028436
252,2f3c2999a7339d40a1957a3a5586d1bebac5ef73fa4f5bc34b12fe61e30ec002,0,211,206,206,0,84.533917,90000.040542,1,0.976303317535545
253,ab8b1d449ddd3056cf28a2b19314a9ad43a9de2342a7510660c0887e64e71774,0,211,206,206,0,81.708875,90000.03825,1,0.976303317535545
254,01a4363d534e3d47edf7471e2124ec6e3521e2228f49617993a471bc09e79368,3,67,67,67,0,87.57025,1621.47975,0,1.0
255,d28460cfbf1697e19784e3ba4fab3f24aefe46fbdf47dc3da54c161e21bad265,0,211,204,204,0,84.555584,90000.014667,1,0.966824644549763
256,c8b5b130a73bb746f66b9a25ded0b1d75982661fbb72d280bf825401f039d37a,1,105,105,105,0,152.514542,3110.827667,0,1.0
257,65b69adfe46336ff0ddde809a64bcb3b59436bff4799e3045235e99d4f52cf45,3,67,67,67,0,78.276541,2384.891583,0,1.0
258,33a2b2e593ada1e88eb9dfce7f039be557f1d066807b63ede9bdb4039388c6f5,0,211,205,205,0,93.616708,90000.062292,1,0.9715639810426541
259,8d396598a433b80b9b38e670965913cc0d9a3bd75867f4c7192bbfb5f1bbee03,0,211,206,206,0,85.096375,90000.026833,1,0.976303317535545
260,cf676c798483d66d692414e49a5347288236c4cc8e1a5d6f3a27c18b40664eba,4,39,39,39,0,146.742708,896.583792,0,1.0
261,2a91e5fe207d16ac98db4df148882c79869fab9fc11db75912e52967381f093a,0,211,206,206,0,85.302583,90000.008958,1,0.976303317535545
262,ac359a6b5a83b1fac8963183d8a9d8107525bacb455024daa6b83044d077aa71,1,105,105,105,0,88.954208,3545.397875,0,1.0
263,1c8eb1c3e0d4362e40a40c10dea62c5129ab972fd78153ff3916eea6ab8d7daa,3,67,67,67,0,75.636167,1362.193458,0,1.0
264,41ef71ae68785ddcc21c30ef075417280bf2b47123c5c2ba344c8b9a082d9836,1,105,105,105,0,84.204042,2993.734333,0,1.0
265,e315c5ad93a90b93ec2d10f20abcc6637a6e6eb1fc71a2dd9c420e0d7a493ff6,3,67,67,67,0,81.015625,2104.992833,0,1.0
